available_bike_stands,dew_point,precipitation,rain,temperature,relative_humidity,apparent_temperature
11,3.5,1.1,1.1,7.8,,
8,3.5,1.1,1.1,7.8,,
14,3.5,1.1,1.1,7.8,,
17,3.5,1.1,1.1,7.8,,
16,3.5,1.1,1.1,7.8,,
14,3.5,1.1,1.1,7.8,,
14,3.5,1.1,1.1,7.8,,
4,3.5,1.1,1.1,7.8,,
20,3.5,1.1,1.1,7.8,,
9,3.5,1.1,1.1,7.8,,
10,3.5,1.1,1.1,7.8,,
9,3.5,1.1,1.1,7.8,,
12,3.5,1.1,1.1,7.8,,
8,3.5,1.1,1.1,7.8,,
6,3.5,1.1,1.1,7.8,,
10,3.5,1.1,1.1,7.8,,
5,3.5,1.1,1.1,7.8,,
5,3.5,1.1,1.1,7.8,,
20,3.5,1.1,1.1,7.8,,
8,3.5,1.1,1.1,7.8,,
14,3.5,1.1,1.1,7.8,,
10,3.5,1.1,1.1,7.8,,
12,3.5,1.1,1.1,7.8,,
13,3.5,1.1,1.1,7.8,,
2,3.5,1.1,1.1,7.8,,
8,3.5,1.1,1.1,7.8,,
8,3.5,1.1,1.1,7.8,,
16,3.5,1.1,1.1,7.8,,
11,3.5,,,7.8,74.0,3.6
8,3.5,,,7.8,74.0,3.6
14,3.5,,,7.8,74.0,3.6
17,3.5,,,7.8,74.0,3.6
16,3.5,,,7.8,74.0,3.6
14,3.5,,,7.8,74.0,3.6
14,3.5,,,7.8,74.0,3.6
4,3.5,,,7.8,74.0,3.6
20,3.5,,,7.8,74.0,3.6
9,3.5,,,7.8,74.0,3.6
10,3.5,,,7.8,74.0,3.6
9,3.5,,,7.8,74.0,3.6
12,3.5,,,7.8,74.0,3.6
8,3.5,,,7.8,74.0,3.6
6,3.5,,,7.8,74.0,3.6
10,3.5,,,7.8,74.0,3.6
5,3.5,,,7.8,74.0,3.6
5,3.5,,,7.8,74.0,3.6
20,3.5,,,7.8,74.0,3.6
8,3.5,,,7.8,74.0,3.6
14,3.5,,,7.8,74.0,3.6
10,3.5,,,7.8,74.0,3.6
12,3.5,,,7.8,74.0,3.6
13,3.5,,,7.8,74.0,3.6
2,3.5,,,7.8,74.0,3.6
8,3.5,,,7.8,74.0,3.6
8,3.5,,,7.8,74.0,3.6
16,3.5,,,7.8,74.0,3.6
