available_bike_stands,temperature,precipitation,relative_humidity,dew_point
11,7.8,1.1,74.0,3.5
8,7.8,1.1,74.0,3.5
14,7.8,1.1,74.0,3.5
17,7.8,1.1,74.0,3.5
16,7.8,1.1,74.0,3.5
14,7.8,1.1,74.0,3.5
14,7.8,1.1,74.0,3.5
4,7.8,1.1,74.0,3.5
20,7.8,1.1,74.0,3.5
9,7.8,1.1,74.0,3.5
10,7.8,1.1,74.0,3.5
9,7.8,1.1,74.0,3.5
12,7.8,1.1,74.0,3.5
8,7.8,1.1,74.0,3.5
6,7.8,1.1,74.0,3.5
10,7.8,1.1,74.0,3.5
5,7.8,1.1,74.0,3.5
5,7.8,1.1,74.0,3.5
20,7.8,1.1,74.0,3.5
8,7.8,1.1,74.0,3.5
14,7.8,1.1,74.0,3.5
10,7.8,1.1,74.0,3.5
12,7.8,1.1,74.0,3.5
13,7.8,1.1,74.0,3.5
2,7.8,1.1,74.0,3.5
8,7.8,1.1,74.0,3.5
8,7.8,1.1,74.0,3.5
16,7.8,1.1,74.0,3.5
