available_bike_stands,apparent_temperature,rain,temperature,relative_humidity,dew_point
11,3.6,1.1,7.8,74.0,
8,3.6,1.1,7.8,74.0,
14,3.6,1.1,7.8,74.0,
17,3.6,1.1,7.8,74.0,
16,3.6,1.1,7.8,74.0,
14,3.6,1.1,7.8,74.0,
14,3.6,1.1,7.8,74.0,
4,3.6,1.1,7.8,74.0,
20,3.6,1.1,7.8,74.0,
9,3.6,1.1,7.8,74.0,
10,3.6,1.1,7.8,74.0,
9,3.6,1.1,7.8,74.0,
12,3.6,1.1,7.8,74.0,
8,3.6,1.1,7.8,74.0,
6,3.6,1.1,7.8,74.0,
10,3.6,1.1,7.8,74.0,
5,3.6,1.1,7.8,74.0,
5,3.6,1.1,7.8,74.0,
20,3.6,1.1,7.8,74.0,
8,3.6,1.1,7.8,74.0,
14,3.6,1.1,7.8,74.0,
10,3.6,1.1,7.8,74.0,
12,3.6,1.1,7.8,74.0,
13,3.6,1.1,7.8,74.0,
2,3.6,1.1,7.8,74.0,
8,3.6,1.1,7.8,74.0,
8,3.6,1.1,7.8,74.0,
16,3.6,1.1,7.8,74.0,
11,3.6,,7.8,74.0,3.5
8,3.6,,7.8,74.0,3.5
14,3.6,,7.8,74.0,3.5
17,3.6,,7.8,74.0,3.5
16,3.6,,7.8,74.0,3.5
14,3.6,,7.8,74.0,3.5
14,3.6,,7.8,74.0,3.5
4,3.6,,7.8,74.0,3.5
20,3.6,,7.8,74.0,3.5
9,3.6,,7.8,74.0,3.5
10,3.6,,7.8,74.0,3.5
9,3.6,,7.8,74.0,3.5
12,3.6,,7.8,74.0,3.5
8,3.6,,7.8,74.0,3.5
6,3.6,,7.8,74.0,3.5
10,3.6,,7.8,74.0,3.5
5,3.6,,7.8,74.0,3.5
5,3.6,,7.8,74.0,3.5
20,3.6,,7.8,74.0,3.5
8,3.6,,7.8,74.0,3.5
14,3.6,,7.8,74.0,3.5
10,3.6,,7.8,74.0,3.5
12,3.6,,7.8,74.0,3.5
13,3.6,,7.8,74.0,3.5
2,3.6,,7.8,74.0,3.5
8,3.6,,7.8,74.0,3.5
8,3.6,,7.8,74.0,3.5
16,3.6,,7.8,74.0,3.5
11,3.6,,7.8,74.0,3.5
8,3.6,,7.8,74.0,3.5
8,3.6,,7.8,74.0,3.5
14,3.6,,7.8,74.0,3.5
17,3.6,,7.8,74.0,3.5
15,3.6,,7.8,74.0,3.5
14,3.6,,7.8,74.0,3.5
14,3.6,,7.8,74.0,3.5
5,3.6,,7.8,74.0,3.5
20,3.6,,7.8,74.0,3.5
9,3.6,,7.8,74.0,3.5
10,3.6,,7.8,74.0,3.5
10,3.6,,7.8,74.0,3.5
12,3.6,,7.8,74.0,3.5
16,3.6,,7.8,74.0,3.5
6,3.6,,7.8,74.0,3.5
8,3.6,,7.8,74.0,3.5
10,3.6,,7.8,74.0,3.5
3,3.6,,7.8,74.0,3.5
13,3.6,,7.8,74.0,3.5
10,3.6,,7.8,74.0,3.5
12,3.6,,7.8,74.0,3.5
6,3.6,,7.8,74.0,3.5
20,3.6,,7.8,74.0,3.5
5,3.6,,7.8,74.0,3.5
4,3.6,,7.8,74.0,3.5
10,3.6,,7.8,74.0,3.5
12,3.6,,7.8,74.0,3.5
20,3.3,,7.6,76.0,3.7
10,3.3,,7.6,76.0,3.7
10,3.3,,7.6,76.0,3.7
9,3.3,,7.6,76.0,3.7
5,3.3,,7.6,76.0,3.7
8,3.3,,7.6,76.0,3.7
14,3.3,,7.6,76.0,3.7
15,3.3,,7.6,76.0,3.7
17,3.3,,7.6,76.0,3.7
14,3.3,,7.6,76.0,3.7
12,3.3,,7.6,76.0,3.7
14,3.3,,7.6,76.0,3.7
8,3.3,,7.6,76.0,3.7
6,3.3,,7.6,76.0,3.7
10,3.3,,7.6,76.0,3.7
4,3.3,,7.6,76.0,3.7
5,3.3,,7.6,76.0,3.7
20,3.3,,7.6,76.0,3.7
12,3.3,,7.6,76.0,3.7
10,3.3,,7.6,76.0,3.7
12,3.3,,7.6,76.0,3.7
13,3.3,,7.6,76.0,3.7
3,3.3,,7.6,76.0,3.7
10,3.3,,7.6,76.0,3.7
11,3.3,,7.6,76.0,3.7
8,3.3,,7.6,76.0,3.7
6,3.3,,7.6,76.0,3.7
16,3.3,,7.6,76.0,3.7
