available_bike_stands,precipitation,apparent_temperature,dew_point,rain,temperature
11,1.1,3.6,3.5,1.1,
8,1.1,3.6,3.5,1.1,
14,1.1,3.6,3.5,1.1,
17,1.1,3.6,3.5,1.1,
16,1.1,3.6,3.5,1.1,
14,1.1,3.6,3.5,1.1,
14,1.1,3.6,3.5,1.1,
4,1.1,3.6,3.5,1.1,
20,1.1,3.6,3.5,1.1,
9,1.1,3.6,3.5,1.1,
10,1.1,3.6,3.5,1.1,
9,1.1,3.6,3.5,1.1,
12,1.1,3.6,3.5,1.1,
8,1.1,3.6,3.5,1.1,
6,1.1,3.6,3.5,1.1,
10,1.1,3.6,3.5,1.1,
5,1.1,3.6,3.5,1.1,
5,1.1,3.6,3.5,1.1,
20,1.1,3.6,3.5,1.1,
8,1.1,3.6,3.5,1.1,
14,1.1,3.6,3.5,1.1,
10,1.1,3.6,3.5,1.1,
12,1.1,3.6,3.5,1.1,
13,1.1,3.6,3.5,1.1,
2,1.1,3.6,3.5,1.1,
8,1.1,3.6,3.5,1.1,
8,1.1,3.6,3.5,1.1,
16,1.1,3.6,3.5,1.1,
11,1.1,,3.5,1.1,7.8
8,1.1,,3.5,1.1,7.8
14,1.1,,3.5,1.1,7.8
17,1.1,,3.5,1.1,7.8
16,1.1,,3.5,1.1,7.8
14,1.1,,3.5,1.1,7.8
14,1.1,,3.5,1.1,7.8
4,1.1,,3.5,1.1,7.8
20,1.1,,3.5,1.1,7.8
9,1.1,,3.5,1.1,7.8
10,1.1,,3.5,1.1,7.8
9,1.1,,3.5,1.1,7.8
12,1.1,,3.5,1.1,7.8
8,1.1,,3.5,1.1,7.8
6,1.1,,3.5,1.1,7.8
10,1.1,,3.5,1.1,7.8
5,1.1,,3.5,1.1,7.8
5,1.1,,3.5,1.1,7.8
20,1.1,,3.5,1.1,7.8
8,1.1,,3.5,1.1,7.8
14,1.1,,3.5,1.1,7.8
10,1.1,,3.5,1.1,7.8
12,1.1,,3.5,1.1,7.8
13,1.1,,3.5,1.1,7.8
2,1.1,,3.5,1.1,7.8
8,1.1,,3.5,1.1,7.8
8,1.1,,3.5,1.1,7.8
16,1.1,,3.5,1.1,7.8
