available_bike_stands,precipitation,relative_humidity,temperature,dew_point,apparent_temperature,rain
11,1.1,74.0,7.8,3.5,,
8,1.1,74.0,7.8,3.5,,
14,1.1,74.0,7.8,3.5,,
17,1.1,74.0,7.8,3.5,,
16,1.1,74.0,7.8,3.5,,
14,1.1,74.0,7.8,3.5,,
14,1.1,74.0,7.8,3.5,,
4,1.1,74.0,7.8,3.5,,
20,1.1,74.0,7.8,3.5,,
9,1.1,74.0,7.8,3.5,,
10,1.1,74.0,7.8,3.5,,
9,1.1,74.0,7.8,3.5,,
12,1.1,74.0,7.8,3.5,,
8,1.1,74.0,7.8,3.5,,
6,1.1,74.0,7.8,3.5,,
10,1.1,74.0,7.8,3.5,,
5,1.1,74.0,7.8,3.5,,
5,1.1,74.0,7.8,3.5,,
20,1.1,74.0,7.8,3.5,,
8,1.1,74.0,7.8,3.5,,
14,1.1,74.0,7.8,3.5,,
10,1.1,74.0,7.8,3.5,,
12,1.1,74.0,7.8,3.5,,
13,1.1,74.0,7.8,3.5,,
2,1.1,74.0,7.8,3.5,,
8,1.1,74.0,7.8,3.5,,
8,1.1,74.0,7.8,3.5,,
16,1.1,74.0,7.8,3.5,,
11,,,7.8,3.5,3.6,1.1
8,,,7.8,3.5,3.6,1.1
14,,,7.8,3.5,3.6,1.1
17,,,7.8,3.5,3.6,1.1
16,,,7.8,3.5,3.6,1.1
14,,,7.8,3.5,3.6,1.1
14,,,7.8,3.5,3.6,1.1
4,,,7.8,3.5,3.6,1.1
20,,,7.8,3.5,3.6,1.1
9,,,7.8,3.5,3.6,1.1
10,,,7.8,3.5,3.6,1.1
9,,,7.8,3.5,3.6,1.1
12,,,7.8,3.5,3.6,1.1
8,,,7.8,3.5,3.6,1.1
6,,,7.8,3.5,3.6,1.1
10,,,7.8,3.5,3.6,1.1
5,,,7.8,3.5,3.6,1.1
5,,,7.8,3.5,3.6,1.1
20,,,7.8,3.5,3.6,1.1
8,,,7.8,3.5,3.6,1.1
14,,,7.8,3.5,3.6,1.1
10,,,7.8,3.5,3.6,1.1
12,,,7.8,3.5,3.6,1.1
13,,,7.8,3.5,3.6,1.1
2,,,7.8,3.5,3.6,1.1
8,,,7.8,3.5,3.6,1.1
8,,,7.8,3.5,3.6,1.1
16,,,7.8,3.5,3.6,1.1
11,,74.0,7.8,3.5,3.6,
8,,74.0,7.8,3.5,3.6,
8,,74.0,7.8,3.5,3.6,
14,,74.0,7.8,3.5,3.6,
17,,74.0,7.8,3.5,3.6,
15,,74.0,7.8,3.5,3.6,
14,,74.0,7.8,3.5,3.6,
14,,74.0,7.8,3.5,3.6,
5,,74.0,7.8,3.5,3.6,
20,,74.0,7.8,3.5,3.6,
9,,74.0,7.8,3.5,3.6,
10,,74.0,7.8,3.5,3.6,
10,,74.0,7.8,3.5,3.6,
12,,74.0,7.8,3.5,3.6,
16,,74.0,7.8,3.5,3.6,
6,,74.0,7.8,3.5,3.6,
8,,74.0,7.8,3.5,3.6,
10,,74.0,7.8,3.5,3.6,
3,,74.0,7.8,3.5,3.6,
13,,74.0,7.8,3.5,3.6,
10,,74.0,7.8,3.5,3.6,
12,,74.0,7.8,3.5,3.6,
6,,74.0,7.8,3.5,3.6,
20,,74.0,7.8,3.5,3.6,
5,,74.0,7.8,3.5,3.6,
4,,74.0,7.8,3.5,3.6,
10,,74.0,7.8,3.5,3.6,
12,,74.0,7.8,3.5,3.6,
20,,76.0,7.6,3.7,3.3,
10,,76.0,7.6,3.7,3.3,
10,,76.0,7.6,3.7,3.3,
9,,76.0,7.6,3.7,3.3,
5,,76.0,7.6,3.7,3.3,
8,,76.0,7.6,3.7,3.3,
14,,76.0,7.6,3.7,3.3,
15,,76.0,7.6,3.7,3.3,
17,,76.0,7.6,3.7,3.3,
14,,76.0,7.6,3.7,3.3,
12,,76.0,7.6,3.7,3.3,
14,,76.0,7.6,3.7,3.3,
8,,76.0,7.6,3.7,3.3,
6,,76.0,7.6,3.7,3.3,
10,,76.0,7.6,3.7,3.3,
4,,76.0,7.6,3.7,3.3,
5,,76.0,7.6,3.7,3.3,
20,,76.0,7.6,3.7,3.3,
12,,76.0,7.6,3.7,3.3,
10,,76.0,7.6,3.7,3.3,
12,,76.0,7.6,3.7,3.3,
13,,76.0,7.6,3.7,3.3,
3,,76.0,7.6,3.7,3.3,
10,,76.0,7.6,3.7,3.3,
11,,76.0,7.6,3.7,3.3,
8,,76.0,7.6,3.7,3.3,
6,,76.0,7.6,3.7,3.3,
16,,76.0,7.6,3.7,3.3,
