available_bike_stands,dew_point,temperature,relative_humidity,precipitation,apparent_temperature
11,3.5,7.8,74.0,1.1,
8,3.5,7.8,74.0,1.1,
14,3.5,7.8,74.0,1.1,
17,3.5,7.8,74.0,1.1,
16,3.5,7.8,74.0,1.1,
14,3.5,7.8,74.0,1.1,
14,3.5,7.8,74.0,1.1,
4,3.5,7.8,74.0,1.1,
20,3.5,7.8,74.0,1.1,
9,3.5,7.8,74.0,1.1,
10,3.5,7.8,74.0,1.1,
9,3.5,7.8,74.0,1.1,
12,3.5,7.8,74.0,1.1,
8,3.5,7.8,74.0,1.1,
6,3.5,7.8,74.0,1.1,
10,3.5,7.8,74.0,1.1,
5,3.5,7.8,74.0,1.1,
5,3.5,7.8,74.0,1.1,
20,3.5,7.8,74.0,1.1,
8,3.5,7.8,74.0,1.1,
14,3.5,7.8,74.0,1.1,
10,3.5,7.8,74.0,1.1,
12,3.5,7.8,74.0,1.1,
13,3.5,7.8,74.0,1.1,
2,3.5,7.8,74.0,1.1,
8,3.5,7.8,74.0,1.1,
8,3.5,7.8,74.0,1.1,
16,3.5,7.8,74.0,1.1,
11,3.5,7.8,74.0,1.1,
8,3.5,7.8,74.0,1.1,
14,3.5,7.8,74.0,1.1,
17,3.5,7.8,74.0,1.1,
16,3.5,7.8,74.0,1.1,
14,3.5,7.8,74.0,1.1,
14,3.5,7.8,74.0,1.1,
4,3.5,7.8,74.0,1.1,
20,3.5,7.8,74.0,1.1,
9,3.5,7.8,74.0,1.1,
10,3.5,7.8,74.0,1.1,
9,3.5,7.8,74.0,1.1,
12,3.5,7.8,74.0,1.1,
8,3.5,7.8,74.0,1.1,
6,3.5,7.8,74.0,1.1,
10,3.5,7.8,74.0,1.1,
5,3.5,7.8,74.0,1.1,
5,3.5,7.8,74.0,1.1,
20,3.5,7.8,74.0,1.1,
8,3.5,7.8,74.0,1.1,
14,3.5,7.8,74.0,1.1,
10,3.5,7.8,74.0,1.1,
12,3.5,7.8,74.0,1.1,
13,3.5,7.8,74.0,1.1,
2,3.5,7.8,74.0,1.1,
8,3.5,7.8,74.0,1.1,
8,3.5,7.8,74.0,1.1,
16,3.5,7.8,74.0,1.1,
11,3.5,7.8,74.0,,3.6
8,3.5,7.8,74.0,,3.6
8,3.5,7.8,74.0,,3.6
14,3.5,7.8,74.0,,3.6
17,3.5,7.8,74.0,,3.6
15,3.5,7.8,74.0,,3.6
14,3.5,7.8,74.0,,3.6
14,3.5,7.8,74.0,,3.6
5,3.5,7.8,74.0,,3.6
20,3.5,7.8,74.0,,3.6
9,3.5,7.8,74.0,,3.6
10,3.5,7.8,74.0,,3.6
10,3.5,7.8,74.0,,3.6
12,3.5,7.8,74.0,,3.6
16,3.5,7.8,74.0,,3.6
6,3.5,7.8,74.0,,3.6
8,3.5,7.8,74.0,,3.6
10,3.5,7.8,74.0,,3.6
3,3.5,7.8,74.0,,3.6
13,3.5,7.8,74.0,,3.6
10,3.5,7.8,74.0,,3.6
12,3.5,7.8,74.0,,3.6
6,3.5,7.8,74.0,,3.6
20,3.5,7.8,74.0,,3.6
5,3.5,7.8,74.0,,3.6
4,3.5,7.8,74.0,,3.6
10,3.5,7.8,74.0,,3.6
12,3.5,7.8,74.0,,3.6
20,3.7,7.6,76.0,,3.3
10,3.7,7.6,76.0,,3.3
10,3.7,7.6,76.0,,3.3
9,3.7,7.6,76.0,,3.3
5,3.7,7.6,76.0,,3.3
8,3.7,7.6,76.0,,3.3
14,3.7,7.6,76.0,,3.3
15,3.7,7.6,76.0,,3.3
17,3.7,7.6,76.0,,3.3
14,3.7,7.6,76.0,,3.3
12,3.7,7.6,76.0,,3.3
14,3.7,7.6,76.0,,3.3
8,3.7,7.6,76.0,,3.3
6,3.7,7.6,76.0,,3.3
10,3.7,7.6,76.0,,3.3
4,3.7,7.6,76.0,,3.3
5,3.7,7.6,76.0,,3.3
20,3.7,7.6,76.0,,3.3
12,3.7,7.6,76.0,,3.3
10,3.7,7.6,76.0,,3.3
12,3.7,7.6,76.0,,3.3
13,3.7,7.6,76.0,,3.3
3,3.7,7.6,76.0,,3.3
10,3.7,7.6,76.0,,3.3
11,3.7,7.6,76.0,,3.3
8,3.7,7.6,76.0,,3.3
6,3.7,7.6,76.0,,3.3
16,3.7,7.6,76.0,,3.3
