available_bike_stands,dew_point,temperature,rain,relative_humidity,precipitation
11,3.5,7.8,1.1,74.0,
8,3.5,7.8,1.1,74.0,
14,3.5,7.8,1.1,74.0,
17,3.5,7.8,1.1,74.0,
16,3.5,7.8,1.1,74.0,
14,3.5,7.8,1.1,74.0,
14,3.5,7.8,1.1,74.0,
4,3.5,7.8,1.1,74.0,
20,3.5,7.8,1.1,74.0,
9,3.5,7.8,1.1,74.0,
10,3.5,7.8,1.1,74.0,
9,3.5,7.8,1.1,74.0,
12,3.5,7.8,1.1,74.0,
8,3.5,7.8,1.1,74.0,
6,3.5,7.8,1.1,74.0,
10,3.5,7.8,1.1,74.0,
5,3.5,7.8,1.1,74.0,
5,3.5,7.8,1.1,74.0,
20,3.5,7.8,1.1,74.0,
8,3.5,7.8,1.1,74.0,
14,3.5,7.8,1.1,74.0,
10,3.5,7.8,1.1,74.0,
12,3.5,7.8,1.1,74.0,
13,3.5,7.8,1.1,74.0,
2,3.5,7.8,1.1,74.0,
8,3.5,7.8,1.1,74.0,
8,3.5,7.8,1.1,74.0,
16,3.5,7.8,1.1,74.0,
11,3.5,7.8,,74.0,1.1
8,3.5,7.8,,74.0,1.1
14,3.5,7.8,,74.0,1.1
17,3.5,7.8,,74.0,1.1
16,3.5,7.8,,74.0,1.1
14,3.5,7.8,,74.0,1.1
14,3.5,7.8,,74.0,1.1
4,3.5,7.8,,74.0,1.1
20,3.5,7.8,,74.0,1.1
9,3.5,7.8,,74.0,1.1
10,3.5,7.8,,74.0,1.1
9,3.5,7.8,,74.0,1.1
12,3.5,7.8,,74.0,1.1
8,3.5,7.8,,74.0,1.1
6,3.5,7.8,,74.0,1.1
10,3.5,7.8,,74.0,1.1
5,3.5,7.8,,74.0,1.1
5,3.5,7.8,,74.0,1.1
20,3.5,7.8,,74.0,1.1
8,3.5,7.8,,74.0,1.1
14,3.5,7.8,,74.0,1.1
10,3.5,7.8,,74.0,1.1
12,3.5,7.8,,74.0,1.1
13,3.5,7.8,,74.0,1.1
2,3.5,7.8,,74.0,1.1
8,3.5,7.8,,74.0,1.1
8,3.5,7.8,,74.0,1.1
16,3.5,7.8,,74.0,1.1
