available_bike_stands,temperature,relative_humidity,rain,apparent_temperature,precipitation,dew_point
11,7.8,74.0,1.1,3.6,,
8,7.8,74.0,1.1,3.6,,
14,7.8,74.0,1.1,3.6,,
17,7.8,74.0,1.1,3.6,,
16,7.8,74.0,1.1,3.6,,
14,7.8,74.0,1.1,3.6,,
14,7.8,74.0,1.1,3.6,,
4,7.8,74.0,1.1,3.6,,
20,7.8,74.0,1.1,3.6,,
9,7.8,74.0,1.1,3.6,,
10,7.8,74.0,1.1,3.6,,
9,7.8,74.0,1.1,3.6,,
12,7.8,74.0,1.1,3.6,,
8,7.8,74.0,1.1,3.6,,
6,7.8,74.0,1.1,3.6,,
10,7.8,74.0,1.1,3.6,,
5,7.8,74.0,1.1,3.6,,
5,7.8,74.0,1.1,3.6,,
20,7.8,74.0,1.1,3.6,,
8,7.8,74.0,1.1,3.6,,
14,7.8,74.0,1.1,3.6,,
10,7.8,74.0,1.1,3.6,,
12,7.8,74.0,1.1,3.6,,
13,7.8,74.0,1.1,3.6,,
2,7.8,74.0,1.1,3.6,,
8,7.8,74.0,1.1,3.6,,
8,7.8,74.0,1.1,3.6,,
16,7.8,74.0,1.1,3.6,,
11,7.8,74.0,1.1,,1.1,
8,7.8,74.0,1.1,,1.1,
14,7.8,74.0,1.1,,1.1,
17,7.8,74.0,1.1,,1.1,
16,7.8,74.0,1.1,,1.1,
14,7.8,74.0,1.1,,1.1,
14,7.8,74.0,1.1,,1.1,
4,7.8,74.0,1.1,,1.1,
20,7.8,74.0,1.1,,1.1,
9,7.8,74.0,1.1,,1.1,
10,7.8,74.0,1.1,,1.1,
9,7.8,74.0,1.1,,1.1,
12,7.8,74.0,1.1,,1.1,
8,7.8,74.0,1.1,,1.1,
6,7.8,74.0,1.1,,1.1,
10,7.8,74.0,1.1,,1.1,
5,7.8,74.0,1.1,,1.1,
5,7.8,74.0,1.1,,1.1,
20,7.8,74.0,1.1,,1.1,
8,7.8,74.0,1.1,,1.1,
14,7.8,74.0,1.1,,1.1,
10,7.8,74.0,1.1,,1.1,
12,7.8,74.0,1.1,,1.1,
13,7.8,74.0,1.1,,1.1,
2,7.8,74.0,1.1,,1.1,
8,7.8,74.0,1.1,,1.1,
8,7.8,74.0,1.1,,1.1,
16,7.8,74.0,1.1,,1.1,
11,7.8,74.0,,3.6,,3.5
8,7.8,74.0,,3.6,,3.5
8,7.8,74.0,,3.6,,3.5
14,7.8,74.0,,3.6,,3.5
17,7.8,74.0,,3.6,,3.5
15,7.8,74.0,,3.6,,3.5
14,7.8,74.0,,3.6,,3.5
14,7.8,74.0,,3.6,,3.5
5,7.8,74.0,,3.6,,3.5
20,7.8,74.0,,3.6,,3.5
9,7.8,74.0,,3.6,,3.5
10,7.8,74.0,,3.6,,3.5
10,7.8,74.0,,3.6,,3.5
12,7.8,74.0,,3.6,,3.5
16,7.8,74.0,,3.6,,3.5
6,7.8,74.0,,3.6,,3.5
8,7.8,74.0,,3.6,,3.5
10,7.8,74.0,,3.6,,3.5
3,7.8,74.0,,3.6,,3.5
13,7.8,74.0,,3.6,,3.5
10,7.8,74.0,,3.6,,3.5
12,7.8,74.0,,3.6,,3.5
6,7.8,74.0,,3.6,,3.5
20,7.8,74.0,,3.6,,3.5
5,7.8,74.0,,3.6,,3.5
4,7.8,74.0,,3.6,,3.5
10,7.8,74.0,,3.6,,3.5
12,7.8,74.0,,3.6,,3.5
20,7.6,76.0,,3.3,,3.7
10,7.6,76.0,,3.3,,3.7
10,7.6,76.0,,3.3,,3.7
9,7.6,76.0,,3.3,,3.7
5,7.6,76.0,,3.3,,3.7
8,7.6,76.0,,3.3,,3.7
14,7.6,76.0,,3.3,,3.7
15,7.6,76.0,,3.3,,3.7
17,7.6,76.0,,3.3,,3.7
14,7.6,76.0,,3.3,,3.7
12,7.6,76.0,,3.3,,3.7
14,7.6,76.0,,3.3,,3.7
8,7.6,76.0,,3.3,,3.7
6,7.6,76.0,,3.3,,3.7
10,7.6,76.0,,3.3,,3.7
4,7.6,76.0,,3.3,,3.7
5,7.6,76.0,,3.3,,3.7
20,7.6,76.0,,3.3,,3.7
12,7.6,76.0,,3.3,,3.7
10,7.6,76.0,,3.3,,3.7
12,7.6,76.0,,3.3,,3.7
13,7.6,76.0,,3.3,,3.7
3,7.6,76.0,,3.3,,3.7
10,7.6,76.0,,3.3,,3.7
11,7.6,76.0,,3.3,,3.7
8,7.6,76.0,,3.3,,3.7
6,7.6,76.0,,3.3,,3.7
16,7.6,76.0,,3.3,,3.7
