available_bike_stands,relative_humidity,precipitation,rain,temperature,dew_point
11,74.0,1.1,1.1,7.8,
8,74.0,1.1,1.1,7.8,
14,74.0,1.1,1.1,7.8,
17,74.0,1.1,1.1,7.8,
16,74.0,1.1,1.1,7.8,
14,74.0,1.1,1.1,7.8,
14,74.0,1.1,1.1,7.8,
4,74.0,1.1,1.1,7.8,
20,74.0,1.1,1.1,7.8,
9,74.0,1.1,1.1,7.8,
10,74.0,1.1,1.1,7.8,
9,74.0,1.1,1.1,7.8,
12,74.0,1.1,1.1,7.8,
8,74.0,1.1,1.1,7.8,
6,74.0,1.1,1.1,7.8,
10,74.0,1.1,1.1,7.8,
5,74.0,1.1,1.1,7.8,
5,74.0,1.1,1.1,7.8,
20,74.0,1.1,1.1,7.8,
8,74.0,1.1,1.1,7.8,
14,74.0,1.1,1.1,7.8,
10,74.0,1.1,1.1,7.8,
12,74.0,1.1,1.1,7.8,
13,74.0,1.1,1.1,7.8,
2,74.0,1.1,1.1,7.8,
8,74.0,1.1,1.1,7.8,
8,74.0,1.1,1.1,7.8,
16,74.0,1.1,1.1,7.8,
11,74.0,1.1,,7.8,3.5
8,74.0,1.1,,7.8,3.5
14,74.0,1.1,,7.8,3.5
17,74.0,1.1,,7.8,3.5
16,74.0,1.1,,7.8,3.5
14,74.0,1.1,,7.8,3.5
14,74.0,1.1,,7.8,3.5
4,74.0,1.1,,7.8,3.5
20,74.0,1.1,,7.8,3.5
9,74.0,1.1,,7.8,3.5
10,74.0,1.1,,7.8,3.5
9,74.0,1.1,,7.8,3.5
12,74.0,1.1,,7.8,3.5
8,74.0,1.1,,7.8,3.5
6,74.0,1.1,,7.8,3.5
10,74.0,1.1,,7.8,3.5
5,74.0,1.1,,7.8,3.5
5,74.0,1.1,,7.8,3.5
20,74.0,1.1,,7.8,3.5
8,74.0,1.1,,7.8,3.5
14,74.0,1.1,,7.8,3.5
10,74.0,1.1,,7.8,3.5
12,74.0,1.1,,7.8,3.5
13,74.0,1.1,,7.8,3.5
2,74.0,1.1,,7.8,3.5
8,74.0,1.1,,7.8,3.5
8,74.0,1.1,,7.8,3.5
16,74.0,1.1,,7.8,3.5
